name,lat,lon
Bambako,13.5,-12.15
Bambali,12.6,-15.66
Bambali,13.85,-15.55
Bambali,12.66,-15.45
Bambara,14.76,-17.06
Bambarakounda,13.1,-15.57
Bambaraya,13.11,-12.09
Bambato,12.5,-15.55
Bambe,14.8,-16.58
Bambey,14.72,-16.61
Bambilor,14.8,-17.19
Bambli,14.78,-16.53
Bambodinnka,12.75,-14.55
Bambouk,14.71,-17.21
Bamboung,13.83,-16.54
Bamboya,12.46,-12.11
Bamboya,12.46,-12.03
Bamboye,14.7,-16.93
Bamgol,14.98,-15.52
Bamhouame,15.46,-15.71
Bampana,14.85,-16.63
Banadie,15.37,-13.13
Banane,14.77,-15.6
Banane,14.72,-15.9
Banankourou,13.05,-14.23
Banaye,14.72,-15.97
Banbadala,12.69,-15.31
Banbadinnka,12.51,-16.18
Banbadion,12.78,-15.5
Band,14.13,-15.72
Banda,15.27,-16.03
Bandafassi,12.54,-12.31
Bandafassi Tenda,12.53,-12.32
Bandanba,12.53,-12.38
Bandandar,14.03,-16.32
Bandia,14.62,-17.03
Bandia Bambara,14.62,-17.02
Bandiaia,13.66,-16.57
Bandial,12.58,-16.48
Bandiciraila,12.8,-11.73
Bandio,13.78,-16.5
Bandioul Banté,14.03,-15.08
Bandji,15.78,-16.52
Bandjikaki,13.02,-16.68
Bandoukounda Balde,13.08,-15.27
Bandoulou,14,-16.23
Bane,14.37,-16.45
Bane,14.67,-15.67
Bane,14.32,-15.25
Bane,14.15,-16.22
Banedi,14.4,-16.92
Banfara,13.83,-13.43
Banfara Démandaou,13.82,-13.38
Banfara II,13.83,-13.42
Banfarato,12.69,-12.84
Banfaroto,12.78,-11.76
Bangadj,14.83,-16.82
Bangadj,14.57,-16.25
Bangaré,14.22,-15.35
Banghere,12.66,-15.42
Bangoi,15.38,-16.28
Bangol,15,-15.52
Bangounam,12.95,-16.13
Banhar,12.68,-15.56
Bani,13.83,-12.88
Bani,13.77,-16.48
Bani,13.05,-15.55
Bani,12.84,-15.42
Bani,12.51,-15.73
Bani Tapirde,13.95,-12.85
Banianol,15.04,-14.51
Baniaye,14.82,-16.82
Banima,12.45,-15.65
Baniou,14.51,-12.78
Baniou,12.5,-15.9
Banipéli,14.29,-12.46
Bankassouk,12.7,-16.72
Bankou,13.47,-12.82
Bankouba,13.88,-12.28
Bankouma,14.1,-15.2
Banou,14.43,-15.78
Banoungoune,13.02,-15.83
Banpana,13.67,-16.12
Banrhass Keur Massar,14.79,-17.31
Banta Koutoum Pakane,12.93,-13.85
Bantakili Moulaye,13,-14.38
Bantakokouta,12.77,-12.23
Bantambali,14.18,-13.2
Bantanani,13.72,-12.98
Bantandiang,12.79,-15.17
Bantandiang,12.59,-15.65
Bantandienke,13.57,-13.93
Bantanguel,12.78,-14.73
Bantangueul,13.97,-14.02
Bantangueul Kassoum,12.85,-14.28
Bantaniel,12.66,-15.26
Bantankho,12.59,-11.59
Bantanki Doulo,12.97,-14.43
Bantankoli,13.33,-13.18
Bantankountou,13.27,-13.07
Bantankountou,12.77,-14.95
Bantankountou,12.5,-15.92
Bantankountouyel,12.83,-14.95
Bantantinnting,13.53,-13.87
Bantanto,13.13,-14.2
Bantanto,13.02,-15.57
Bantata,12.68,-12.33
Bantigniel,12.9,-13.72
Banéba,13.25,-15.72
Banéba,13.25,-15.53
Baobabs,14.71,-17.46
Baode,14.9,-16.15
Baou,13.78,-16.3
Baoul,14.05,-16.53
Bapalel Koliabe,15.46,-12.97
Bapedj,14.75,-14.87
Bapedji,15.17,-14.88
Baqua,15.23,-16.57
Bar,15.18,-15.99
Bara,15.11,-15.42
Bara,12.43,-12.2
Baraboye,12.69,-12.41
Barabéri,12.96,-11.74
Baracounda,14.02,-15.3
Baracounda,13.67,-14.63
Baraf,12.52,-16.31
Barafoute,12.67,-12.3
Baraglou,15.07,-16.71
Baraglou,14.97,-16.88
Baragues,13.12,-16.48
Baragues,13.12,-16.15
Baraka Bounao,12.5,-16.19
Baraka Patata,12.45,-16.13
Baraka Poukao,12.47,-16.2
Baral,15.22,-15.51
Baralak,12.91,-16.17
Barale Ndiaye,15.85,-16.23
Barandama,13,-15.78
Barandao,14.55,-15.93
Baranlir,12.94,-16.37
Barbaouane,14.53,-15.72
Bardial,15.05,-16.55
Bardiol,15.77,-15.29
BareBanta,16.02,-16.1
Barga,15.98,-13.63
Bargny,14.69,-17.23
Bargny Ngoude,14.69,-17.24
Bargue,15.22,-16.08
Barhéne,15.27,-16.4
Bari,14.75,-16.48
Bari,16.08,-16.18
Bari,15.8,-16.27
Bari,15.16,-15.49
Bari,12.87,-15.66
Bari Diame,15.28,-16.03
Bari Diame Cissé,15.45,-16.24
Bari Diamm,16.18,-16.28
Baria,13.67,-16.18
Baridian,15.13,-16.4
Barigo,16.07,-16.37
Barindondol,14.6,-16.52
Barkatou,15.32,-12.87
Barkaye,13.62,-14.33
Barkedji,14.58,-14.82
Barkedji Mboul,14.6,-15.93
Barkevy,15.33,-12.86
Barkiel,13.88,-14.55
Barkivi,13.8,-15.77
Barkèdji,15.17,-14.87
Barkèdji,13.95,-15.7
Barkédji,15.72,-15.34
Barkédji,15.28,-14.87
Barkédji,14.88,-15.92
Barmatial,15.48,-13.02
Baro,15.25,-16.2
Barokounda,13.67,-14.1
Barone,14.05,-15.47
Baroto,13.77,-12.37
Barouk,12.78,-16.21
Barsafa,13.72,-14.57
Barsine,14.38,-15.92
Barèt,14.74,-17.1
Baréguessin,13.02,-16.38
Barôbé,16.18,-13.9
Bas N'Dar Toute,16.03,-16.51
Bassabou,13.93,-15.92
Bassada,13,-15.77
Bassaf,12.81,-15.62
Bassafa,13.28,-14.6
Bassanbea,12.98,-16.35
Bassaoul,13.92,-16.6
Bassar,13.92,-16.62
Bassem Mondouar,13.13,-16.08
Bassene,13.08,-16.37
Bassene,13.07,-16.38
Bassene,12.95,-16.37
Bassere,12.45,-16.37
Bassilame,12.89,-15.43
